time_s,vout_v,follower_id_a
0.0799,-0.01016762312,0.0001482711332
0.07990005,-0.0370614846,0.0001431357263
0.0799001,-0.06395534608,0.0001380003193
0.07990015,-0.09066674463,0.0001329040682
0.0799002,-0.1169709585,0.0001278951974
0.07990025,-0.1432751724,0.0001228863265
0.0799003,-0.1695793863,0.0001178774557
0.07990035,-0.1955347387,0.0001129342297
0.0799004,-0.2207115708,0.0001081374968
0.07990045,-0.2458884029,0.0001033407639
0.0799005,-0.271065235,9.854403107e-05
0.07990055,-0.2957503095,9.384500877e-05
0.0799006,-0.3193379765,8.936403757e-05
0.07990065,-0.3429256435,8.488306638e-05
0.0799007,-0.3665133105,8.040209518e-05
0.07990075,-0.3894711025,7.604031385e-05
0.0799008,-0.411023264,7.194451686e-05
0.07990085,-0.4325754255,6.784871986e-05
0.0799009,-0.454127587,6.375292287e-05
0.07990095,-0.4749322844,5.980318966e-05
0.079901,-0.4940689391,5.617941269e-05
0.07990105,-0.5132055939,5.255563573e-05
0.0799011,-0.5323422487,4.893185877e-05
0.07990115,-0.5506215796,4.547050178e-05
0.0799012,-0.5669877048,4.237160156e-05
0.07990125,-0.58335383,3.927270133e-05
0.0799013,-0.5997199552,3.617380111e-05
0.07990135,-0.6151526765,3.325574729e-05
0.0799014,-0.6285024116,3.074127068e-05
0.07990145,-0.6418521467,2.822679407e-05
0.0799015,-0.6552018818,2.571231746e-05
0.07990155,-0.6675493572,2.338768622e-05
0.0799016,-0.677660188,2.148671428e-05
0.07990165,-0.6877710188,1.958574235e-05
0.0799017,-0.6978818495,1.768477042e-05
0.07990175,-0.7069456333,1.598627916e-05
0.0799018,-0.713672825,1.473964417e-05
0.07990185,-0.7204000167,1.349300918e-05
0.0799019,-0.7271272084,1.224637419e-05
0.07990195,-0.7328262779,1.119316484e-05
0.079902,-0.7362309876,1.057160452e-05
0.07990205,-0.7396356974,9.950044205e-06
0.0799021,-0.7430404072,9.328483888e-06
0.07990215,-0.7458115343,8.822798017e-06
0.0799022,-0.7471687571,8.575697796e-06
