frequency_hz,vout_real_v,vout_imag_v
32.35936569,-1704.862957,-782.3314976
32.73406949,-1709.586472,-774.4138031
33.11311215,-1714.211189,-766.5530339
33.49654392,-1718.738981,-758.7495999
33.88441561,-1723.171694,-751.0038749
34.27677865,-1727.511146,-743.3161975
34.67368505,-1731.75913,-735.6868724
35.0751874,-1735.917412,-728.1161718
35.48133892,-1739.987731,-720.6043364
35.89219346,-1743.971798,-713.1515767
36.30780548,-1747.871299,-705.7580736
36.72823005,-1751.687893,-698.4239803
37.15352291,-1755.423212,-691.1494227
37.58374043,-1759.078864,-683.9345004
38.01893963,-1762.656427,-676.7792883
38.4591782,-1766.157456,-669.683837
38.9045145,-1769.58348,-662.6481737
39.35500755,-1772.936001,-655.6723036
39.81071706,-1776.216496,-648.7562104
40.27170343,-1779.426418,-641.8998572
40.73802778,-1782.567194,-635.1031874
41.20975191,-1785.640226,-628.3661257
41.68693835,-1788.646892,-621.6885784
42.16965034,-1791.588545,-615.0704346
42.65795188,-1794.466515,-608.5115668
43.15190768,-1797.282109,-602.0118315
43.65158322,-1800.036608,-595.5710701
44.15704474,-1802.731271,-589.1891095
44.66835922,-1805.367334,-582.8657626
45.18559444,-1807.946012,-576.6008292
45.70881896,-1810.468494,-570.3940963
46.23810214,-1812.935951,-564.2453391
46.77351413,-1815.349528,-558.1543212
47.3151259,-1817.710353,-552.1207953
47.86300923,-1820.019528,-546.1445037
48.41723676,-1822.278139,-540.225179
48.97788194,-1824.487247,-534.3625443
49.54501908,-1826.647895,-528.556314
50.11872336,-1828.761105,-522.806194
50.69907083,-1830.827881,-517.1118823
51.2861384,-1832.849205,-511.4730693
51.88000389,-1834.826042,-505.8894387
52.48074602,-1836.759336,-500.3606671
53.08844442,-1838.650015,-494.8864251
53.70317964,-1840.498987,-489.4663774
54.32503315,-1842.307143,-484.1001831
54.95408739,-1844.075355,-478.7874961
55.59042573,-1845.804478,-473.5279658
56.23413252,-1847.495351,-468.3212367
56.88529308,-1849.148796,-463.1669495
57.54399373,-1850.765617,-458.0647407
58.21032178,-1852.346603,-453.0142435
58.88436554,-1853.892526,-448.0150878
59.56621435,-1855.404144,-443.0669004
60.25595861,-1856.882199,-438.1693055
60.95368972,-1858.327416,-433.3219245
61.65950019,-1859.740508,-428.5243769
62.37348355,-1861.12217,-423.7762802
63.09573445,-1862.473087,-419.0772498
63.82634862,-1863.793926,-414.4268999
64.5654229,-1865.085343,-409.8248431
65.31305526,-1866.347978,-405.270691
66.0693448,-1867.582458,-400.7640541
66.83439176,-1868.7894,-396.3045423
67.60829754,-1869.969404,-391.8917647
68.39116473,-1871.12306,-387.5253302
69.18309709,-1872.250945,-383.2048473
69.9841996,-1873.353624,-378.9299243
70.79457844,-1874.431649,-374.7001698
71.61434102,-1875.485562,-370.5151923
72.44359601,-1876.515893,-366.3746009
73.28245331,-1877.52316,-362.278005
74.13102413,-1878.507871,-358.2250145
74.98942093,-1879.470523,-354.2152402
75.8577575,-1880.411602,-350.2482935
76.73614894,-1881.331583,-346.323787
77.62471166,-1882.230934,-342.441334
78.52356346,-1883.110109,-338.6005492
79.43282347,-1883.969554,-334.8010483
80.35261222,-1884.809706,-331.0424485
81.28305162,-1885.630992,-327.3243684
82.22426499,-1886.43383,-323.6464279
83.17637711,-1887.218629,-320.0082485
84.13951416,-1887.985789,-316.4094536
85.11380382,-1888.735701,-312.8496679
86.09937522,-1889.468748,-309.3285182
87.096359,-1890.185306,-305.8456329
88.1048873,-1890.88574,-302.4006424
89.12509381,-1891.570409,-298.993179
90.15711376,-1892.239665,-295.6228772
91.20108394,-1892.893849,-292.2893732
92.25714272,-1893.533299,-288.9923056
93.32543008,-1894.158342,-285.7313149
94.40608763,-1894.7693,-282.5060441
95.4992586,-1895.366487,-279.316138
96.6050879,-1895.95021,-276.161244
97.7237221,-1896.52077,-273.0410116
98.85530947,-1897.078461,-269.9550928
100,-1897.623571,-266.9031418
101.1579454,-1898.15638,-263.8848152
102.3292992,-1898.677165,-260.899772
103.5142167,-1899.186194,-257.9476738
104.7128548,-1899.683731,-255.0281844
105.9253725,-1900.170032,-252.1409702
107.1519305,-1900.645349,-249.2857001
108.3926914,-1901.10993,-246.4620454
109.6478196,-1901.564013,-243.6696801
110.9174815,-1902.007836,-240.9082804
112.2018454,-1902.441627,-238.1775255
113.5010816,-1902.865612,-235.4770968
114.8153621,-1903.280012,-232.8066783
116.1448614,-1903.685041,-230.1659567
117.4897555,-1904.08091,-227.5546212
118.8502227,-1904.467825,-224.9723635
120.2264435,-1904.845987,-222.418878
121.6186001,-1905.215593,-219.8938616
123.0268771,-1905.576836,-217.3970139
124.4514612,-1905.929902,-214.9280369
125.8925412,-1906.274978,-212.4866353
127.3503081,-1906.612241,-210.0725163
128.8249552,-1906.941869,-207.6853898
130.3166778,-1907.264033,-205.3249683
131.8256739,-1907.578902,-202.9909666
133.3521432,-1907.886639,-200.6831023
134.8962883,-1908.187405,-198.4010954
136.4583137,-1908.481358,-196.1446687
138.0384265,-1908.768651,-193.9135474
139.6368361,-1909.049435,-191.707459
141.2537545,-1909.323855,-189.526134
142.8893959,-1909.592057,-187.369305
144.5439771,-1909.854179,-185.2367073
146.2177174,-1910.11036,-183.1280787
147.9108388,-1910.360733,-181.0431595
149.6235656,-1910.605429,-178.9816924
151.3561248,-1910.844578,-176.9434226
153.1087462,-1911.078303,-174.9280977
154.8816619,-1911.306728,-172.9354678
156.675107,-1911.529972,-170.9652854
158.4893192,-1911.748153,-169.0173056
160.3245391,-1911.961384,-167.0912855
162.1810097,-1912.169779,-165.186985
164.0589773,-1912.373445,-163.304166
165.9586907,-1912.57249,-161.4425931
167.8804018,-1912.767019,-159.602033
169.8243652,-1912.957134,-157.7822549
171.7908387,-1913.142934,-155.9830302
173.7800829,-1913.324517,-154.2041325
175.7923614,-1913.501979,-152.4453379
177.827941,-1913.675413,-150.7064248
179.8870915,-1913.844909,-148.9871735
181.9700859,-1914.010558,-147.2873668
184.0772001,-1914.172447,-145.6067898
186.2087137,-1914.330659,-143.9452295
188.3649089,-1914.48528,-142.3024755
190.5460718,-1914.636389,-140.6783191
192.7524913,-1914.784067,-139.072554
194.98446,-1914.928392,-137.4849761
197.2422736,-1915.069438,-135.9153833
199.5262315,-1915.207282,-134.3635756
201.8366364,-1915.341994,-132.8293552
204.1737945,-1915.473647,-131.3125262
206.5380156,-1915.602309,-129.8128948
208.9296131,-1915.728048,-128.3302694
211.348904,-1915.850931,-126.8644601
213.796209,-1915.971022,-125.4152793
216.2718524,-1916.088385,-123.9825413
218.7761624,-1916.203081,-122.5660622
221.309471,-1916.315172,-121.1656603
223.8721139,-1916.424715,-119.7811556
226.4644308,-1916.531769,-118.4123701
229.0867653,-1916.63639,-117.0591278
231.739465,-1916.738634,-115.7212545
234.4228815,-1916.838555,-114.3985778
237.1373706,-1916.936204,-113.0909272
239.8832919,-1917.031634,-111.798134
242.6610095,-1917.124895,-110.5200314
245.4708916,-1917.216037,-109.2564543
248.3133105,-1917.305107,-108.0072394
251.1886432,-1917.392152,-106.7722252
254.0972706,-1917.477218,-105.551252
257.0395783,-1917.560351,-104.3441616
260.0159563,-1917.641594,-103.1507977
263.0267992,-1917.72099,-101.9710057
266.072506,-1917.798581,-100.8046326
269.1534804,-1917.874408,-99.65152706
272.2701308,-1917.948511,-98.5115395
275.4228703,-1918.02093,-97.38452187
278.6121169,-1918.091701,-96.27032775
281.8382931,-1918.160864,-95.16881233
285.1018268,-1918.228454,-94.07983237
288.4031503,-1918.294507,-93.00324622
291.7427014,-1918.359058,-91.93891377
295.1209227,-1918.422141,-90.88669644
298.5382619,-1918.48379,-89.84645718
301.995172,-1918.544037,-88.81806045
305.4921113,-1918.602914,-87.80137218
